cue_mode,accuracy,valid_accuracy,invalid_accuracy,false_alarm_rate,lapse_rate,late_rate,dprime,mean_max_p_resp_prechange,mean_max_p_resp_window,n_trials,seed,selected_response_threshold
true,0.9776,0.97866937531742,0.9736346516007532,0.0064,0.0016,0.0008,4.4958133436811565,0.20639007302988321,0.9968244423270225,2500,0,0.8
neutral,0.9772,0.9766378872524124,0.9792843691148776,0.0052,0.0012,0.0008,4.561315290723917,0.20292767049800606,0.9966702495336532,2500,0,0.8
flipped,0.9756,0.973082783138649,0.9849340866290018,0.0056,0.0024,0.0008,4.506730923185149,0.20594605648498981,0.9962279874444008,2500,0,0.8
shuffled,0.9756,0.9751142712036567,0.9774011299435028,0.0068,0.002,0.0008,4.437993402510871,0.2064345466526225,0.9965533990979195,2500,0,0.8
true,0.7208,0.7754582484725051,0.5205223880597015,0.1208,0.0448,0.0264,1.7562166581647207,0.3024290721904486,0.8080498932957649,2500,1,0.55
neutral,0.6948,0.6990835030549898,0.6791044776119403,0.0972,0.068,0.0436,1.8071747675452126,0.2977261766202748,0.7986814529538154,2500,1,0.55
flipped,0.6036,0.5590631364562119,0.7667910447761194,0.1176,0.1424,0.0364,1.4497464373631603,0.3024556584957987,0.7891317179322243,2500,1,0.55
shuffled,0.6584,0.6624236252545825,0.6436567164179104,0.1204,0.0912,0.032,1.5810898950544887,0.3025673718009144,0.7987251749753952,2500,1,0.55
true,0.7728,0.8004052684903749,0.6692015209125475,0.0796,0.0248,0.04,2.15586699128875,0.29456840181859445,0.8502960285782813,2500,2,0.6
neutral,0.7316,0.7254305977710233,0.7547528517110266,0.0788,0.0416,0.0452,2.0308487624550504,0.29884154258524065,0.8443686825990677,2500,2,0.6
flipped,0.6856,0.6529888551165147,0.8079847908745247,0.0824,0.07,0.0492,1.8725242578983288,0.29475594845220915,0.836135952937603,2500,2,0.6
shuffled,0.7324,0.7284701114488349,0.747148288973384,0.0824,0.0444,0.0464,2.0091954841828197,0.2939063345783157,0.8430850139021874,2500,2,0.6
true,0.958,0.9643034209221616,0.9316770186335404,0.0044,0.0152,0.002,4.347662032198663,0.24065481347907336,0.9769888710737228,2500,3,0.8
neutral,0.9576,0.9598413485374319,0.94824016563147,0.0032,0.0156,0.002,4.450041050895546,0.23646441414877772,0.9760987240076066,2500,3,0.8
flipped,0.9472,0.9454635597421914,0.9544513457556936,0.0044,0.018,0.0016,4.238018242582577,0.24061500079315157,0.9752567965984345,2500,3,0.8
shuffled,0.9512,0.9533961328705999,0.9420289855072463,0.0052,0.0176,0.002,4.218839916314817,0.24110877668876202,0.9761711590766907,2500,3,0.8
true,0.9924,0.9931102362204725,0.9893162393162394,0.0012,0.0028,0.0004,5.463250795601857,0.1981685234282166,0.9972190794229507,2500,4,0.9
neutral,0.9924,0.9936023622047244,0.9871794871794872,0.0008,0.0028,0.0,5.583485186896601,0.19870101565159856,0.9972849908113479,2500,4,0.9
flipped,0.9916,0.9911417322834646,0.9935897435897436,0.0012,0.0032,0.0004,5.4267281524053885,0.19792442536503077,0.9970565972328186,2500,4,0.9
shuffled,0.9928,0.9926181102362205,0.9935897435897436,0.0012,0.0032,0.0,5.482799588311229,0.19828769854456185,0.9972026048660279,2500,4,0.9
