homology_dim,num_features,longest_persistence,total_persistence,peak_betti,seed,analysis,condition
H0,649,3.241858720779419,116.83390023186803,650,0,cue_delta_hidden_state_pointcloud,delta_true_minus_neutral
H1,246,0.07970592379570007,4.161929070949554,43,0,cue_delta_hidden_state_pointcloud,delta_true_minus_neutral
H0,649,3.2033369541168213,159.6287553757429,650,0,cue_delta_hidden_state_pointcloud,delta_true_minus_flipped
H1,270,0.1258106231689453,7.011758267879486,40,0,cue_delta_hidden_state_pointcloud,delta_true_minus_flipped
H0,314,3.215787649154663,96.92591605335474,315,0,cue_delta_hidden_state_pointcloud,delta_true_minus_shuffled
H1,109,0.12339356541633606,3.2960914224386215,22,0,cue_delta_hidden_state_pointcloud,delta_true_minus_shuffled
H0,649,26.923948287963867,4370.604017496109,650,0,cue_delta_hidden_state_pointcloud,delta_rowperm_true_minus_neutral
H1,444,2.9063005447387695,274.26169872283936,75,0,cue_delta_hidden_state_pointcloud,delta_rowperm_true_minus_neutral
H0,649,1.2686485052108765,465.03750559687614,650,0,cue_delta_hidden_state_pointcloud,delta_gaussian_matched_cov
H1,514,0.3094313144683838,34.47779530286789,133,0,cue_delta_hidden_state_pointcloud,delta_gaussian_matched_cov
H0,649,1.5690678358078003,432.3137151300907,650,0,cue_delta_hidden_state_pointcloud,delta_feature_shuffle
H1,541,0.2639967203140259,22.978797912597656,60,0,cue_delta_hidden_state_pointcloud,delta_feature_shuffle
H0,649,3.312157392501831,143.19015845283866,650,0,cue_delta_hidden_state_pointcloud,delta_random_sign_flip
H1,192,0.18188071250915527,4.118415482342243,30,0,cue_delta_hidden_state_pointcloud,delta_random_sign_flip
H0,649,5.185166835784912,89.67048671655357,650,1,cue_delta_hidden_state_pointcloud,delta_true_minus_neutral
H1,176,0.0675022155046463,2.6126381307840347,18,1,cue_delta_hidden_state_pointcloud,delta_true_minus_neutral
H0,649,6.307591438293457,156.2247298285365,650,1,cue_delta_hidden_state_pointcloud,delta_true_minus_flipped
H1,180,0.1767514944076538,4.334851056337357,16,1,cue_delta_hidden_state_pointcloud,delta_true_minus_flipped
H0,340,6.424980640411377,106.53028673770633,341,1,cue_delta_hidden_state_pointcloud,delta_true_minus_shuffled
H1,76,0.15990829467773438,2.137198328971863,8,1,cue_delta_hidden_state_pointcloud,delta_true_minus_shuffled
H0,649,16.639039993286133,3474.9553703069687,650,1,cue_delta_hidden_state_pointcloud,delta_rowperm_true_minus_neutral
H1,371,2.694589614868164,236.2364537715912,67,1,cue_delta_hidden_state_pointcloud,delta_rowperm_true_minus_neutral
H0,649,1.4093457460403442,446.9192778170109,650,1,cue_delta_hidden_state_pointcloud,delta_gaussian_matched_cov
H1,518,0.27318960428237915,33.0180259346962,138,1,cue_delta_hidden_state_pointcloud,delta_gaussian_matched_cov
H0,649,3.5850162506103516,398.6180894076824,650,1,cue_delta_hidden_state_pointcloud,delta_feature_shuffle
H1,497,0.3730887174606323,20.67290884256363,89,1,cue_delta_hidden_state_pointcloud,delta_feature_shuffle
H0,649,5.197453022003174,119.22367516718805,650,1,cue_delta_hidden_state_pointcloud,delta_random_sign_flip
H1,158,0.11246812343597412,2.627278432250023,13,1,cue_delta_hidden_state_pointcloud,delta_random_sign_flip
H0,649,1.999822735786438,70.91405266709626,650,2,cue_delta_hidden_state_pointcloud,delta_true_minus_neutral
H1,149,0.07109570503234863,1.9790145866572857,20,2,cue_delta_hidden_state_pointcloud,delta_true_minus_neutral
H0,649,4.207353115081787,135.83324303664267,650,2,cue_delta_hidden_state_pointcloud,delta_true_minus_flipped
H1,143,0.1718546748161316,3.9915381744503975,18,2,cue_delta_hidden_state_pointcloud,delta_true_minus_flipped
H0,351,2.334221363067627,95.3018692061305,352,2,cue_delta_hidden_state_pointcloud,delta_true_minus_shuffled
H1,56,0.1030774712562561,1.5503669679164886,10,2,cue_delta_hidden_state_pointcloud,delta_true_minus_shuffled
H0,649,11.354083061218262,2982.4842891693115,650,2,cue_delta_hidden_state_pointcloud,delta_rowperm_true_minus_neutral
H1,332,5.736149787902832,190.17768931388855,54,2,cue_delta_hidden_state_pointcloud,delta_rowperm_true_minus_neutral
H0,649,1.5171310901641846,437.6928845345974,650,2,cue_delta_hidden_state_pointcloud,delta_gaussian_matched_cov
H1,558,0.28618013858795166,36.034489929676056,145,2,cue_delta_hidden_state_pointcloud,delta_gaussian_matched_cov
H0,649,1.272695779800415,404.8480532169342,650,2,cue_delta_hidden_state_pointcloud,delta_feature_shuffle
H1,625,0.17366528511047363,26.01558780670166,108,2,cue_delta_hidden_state_pointcloud,delta_feature_shuffle
H0,649,1.9502862691879272,93.73258605226874,650,2,cue_delta_hidden_state_pointcloud,delta_random_sign_flip
H1,106,0.1703803539276123,1.4676052927970886,10,2,cue_delta_hidden_state_pointcloud,delta_random_sign_flip
H0,649,4.501256465911865,115.61696644499898,650,3,cue_delta_hidden_state_pointcloud,delta_true_minus_neutral
H1,201,0.09729620814323425,3.4008979350328445,23,3,cue_delta_hidden_state_pointcloud,delta_true_minus_neutral
H0,649,4.788408279418945,173.93874437734485,650,3,cue_delta_hidden_state_pointcloud,delta_true_minus_flipped
H1,190,0.20446252822875977,6.049787797033787,26,3,cue_delta_hidden_state_pointcloud,delta_true_minus_flipped
H0,311,4.788408279418945,113.85913889383227,312,3,cue_delta_hidden_state_pointcloud,delta_true_minus_shuffled
H1,67,0.26000356674194336,2.7012845277786255,14,3,cue_delta_hidden_state_pointcloud,delta_true_minus_shuffled
H0,649,17.321491241455078,3551.8925656080246,650,3,cue_delta_hidden_state_pointcloud,delta_rowperm_true_minus_neutral
H1,392,2.831714153289795,231.91163849830627,59,3,cue_delta_hidden_state_pointcloud,delta_rowperm_true_minus_neutral
H0,649,1.4994785785675049,482.08006459474564,650,3,cue_delta_hidden_state_pointcloud,delta_gaussian_matched_cov
H1,558,0.31141185760498047,36.760659635066986,149,3,cue_delta_hidden_state_pointcloud,delta_gaussian_matched_cov
H0,649,1.8204288482666016,418.1581593453884,650,3,cue_delta_hidden_state_pointcloud,delta_feature_shuffle
H1,591,0.2197352647781372,25.024369329214096,108,3,cue_delta_hidden_state_pointcloud,delta_feature_shuffle
H0,649,4.71162223815918,143.02752155065536,650,3,cue_delta_hidden_state_pointcloud,delta_random_sign_flip
H1,158,0.2600569725036621,3.4722963832318783,15,3,cue_delta_hidden_state_pointcloud,delta_random_sign_flip
H0,649,3.2468111515045166,104.31016596220434,650,4,cue_delta_hidden_state_pointcloud,delta_true_minus_neutral
H1,220,0.2020587921142578,3.795796126127243,27,4,cue_delta_hidden_state_pointcloud,delta_true_minus_neutral
H0,649,2.1236746311187744,126.00799596495926,650,4,cue_delta_hidden_state_pointcloud,delta_true_minus_flipped
H1,218,0.12736546993255615,4.886150598526001,42,4,cue_delta_hidden_state_pointcloud,delta_true_minus_flipped
H0,334,1.1120316982269287,79.21987361460924,335,4,cue_delta_hidden_state_pointcloud,delta_true_minus_shuffled
H1,78,0.082559734582901,1.8069486171007156,16,4,cue_delta_hidden_state_pointcloud,delta_true_minus_shuffled
H0,649,22.27167320251465,4685.999578118324,650,4,cue_delta_hidden_state_pointcloud,delta_rowperm_true_minus_neutral
H1,477,3.325015068054199,346.5589838027954,86,4,cue_delta_hidden_state_pointcloud,delta_rowperm_true_minus_neutral
H0,649,1.3504854440689087,374.1923614144325,650,4,cue_delta_hidden_state_pointcloud,delta_gaussian_matched_cov
H1,455,0.24693822860717773,26.35789316892624,114,4,cue_delta_hidden_state_pointcloud,delta_gaussian_matched_cov
H0,649,1.6058025360107422,380.8195080757141,650,4,cue_delta_hidden_state_pointcloud,delta_feature_shuffle
H1,643,0.2516854405403137,25.063851088285446,90,4,cue_delta_hidden_state_pointcloud,delta_feature_shuffle
H0,649,3.3293933868408203,132.0577711444348,650,4,cue_delta_hidden_state_pointcloud,delta_random_sign_flip
H1,180,0.2490401268005371,4.4536115154623985,24,4,cue_delta_hidden_state_pointcloud,delta_random_sign_flip
