homology_dim,num_features,longest_persistence,total_persistence,peak_betti,seed,analysis,condition
H0,649,9.888968467712402,1254.5848792493343,650,0,hidden_state_pointcloud,true
H1,455,0.830223798751831,101.8236802816391,105,0,hidden_state_pointcloud,true
H0,649,11.128324508666992,1121.9994609355927,650,0,hidden_state_pointcloud,neutral
H1,399,0.7978742122650146,79.75954079627991,69,0,hidden_state_pointcloud,neutral
H0,649,9.757431983947754,1258.0899803638458,650,0,hidden_state_pointcloud,flipped
H1,450,0.7822110652923584,99.17152905464172,96,0,hidden_state_pointcloud,flipped
H0,649,10.074908256530762,1260.347245723009,650,0,hidden_state_pointcloud,shuffled
H1,468,1.0544915199279785,107.25953096151352,112,0,hidden_state_pointcloud,shuffled
H0,649,8.321052551269531,2423.1963628530502,650,0,hidden_state_pointcloud,gaussian_matched_cov
H1,636,1.2884705066680908,182.49419713020325,169,0,hidden_state_pointcloud,gaussian_matched_cov
H0,649,6.7220540046691895,2287.2958587408066,650,0,hidden_state_pointcloud,feature_shuffle
H1,617,1.357187271118164,174.70746636390686,123,0,hidden_state_pointcloud,feature_shuffle
H0,649,7.856682300567627,906.3867897689342,650,1,hidden_state_pointcloud,true
H1,395,0.8688604831695557,80.12805324792862,82,1,hidden_state_pointcloud,true
H0,649,10.427040100097656,750.2277807146311,650,1,hidden_state_pointcloud,neutral
H1,320,1.150343894958496,53.454235941171646,62,1,hidden_state_pointcloud,neutral
H0,649,7.620312213897705,907.8376147449017,650,1,hidden_state_pointcloud,flipped
H1,395,0.8973293304443359,78.5519807934761,91,1,hidden_state_pointcloud,flipped
H0,649,7.620312213897705,906.3038871660829,650,1,hidden_state_pointcloud,shuffled
H1,392,1.2893004417419434,80.16324853897095,90,1,hidden_state_pointcloud,shuffled
H0,649,7.0810089111328125,2138.4361765384674,650,1,hidden_state_pointcloud,gaussian_matched_cov
H1,556,1.1414458751678467,161.3196792602539,122,1,hidden_state_pointcloud,gaussian_matched_cov
H0,649,6.501709938049316,1906.7741276025772,650,1,hidden_state_pointcloud,feature_shuffle
H1,556,1.0662202835083008,148.84809732437134,118,1,hidden_state_pointcloud,feature_shuffle
H0,649,5.492950439453125,631.5477186515927,650,2,hidden_state_pointcloud,true
H1,290,0.6644202470779419,36.71941056847572,42,2,hidden_state_pointcloud,true
H0,649,5.805936813354492,521.7116263844073,650,2,hidden_state_pointcloud,neutral
H1,250,0.5933780670166016,26.28080366551876,32,2,hidden_state_pointcloud,neutral
H0,649,5.574409484863281,629.4670054614544,650,2,hidden_state_pointcloud,flipped
H1,316,0.6383302211761475,36.10326011478901,32,2,hidden_state_pointcloud,flipped
H0,649,5.6324381828308105,622.8763694241643,650,2,hidden_state_pointcloud,shuffled
H1,284,0.5937807559967041,34.66284188628197,37,2,hidden_state_pointcloud,shuffled
H0,649,6.349220275878906,1893.5709990262985,650,2,hidden_state_pointcloud,gaussian_matched_cov
H1,542,1.1159334182739258,126.48589730262756,126,2,hidden_state_pointcloud,gaussian_matched_cov
H0,649,5.045933246612549,1737.0751683712006,650,2,hidden_state_pointcloud,feature_shuffle
H1,563,1.41548752784729,131.81200456619263,110,2,hidden_state_pointcloud,feature_shuffle
H0,649,8.817801475524902,951.4461632817984,650,3,hidden_state_pointcloud,true
H1,418,0.7600593566894531,77.28655876219273,86,3,hidden_state_pointcloud,true
H0,649,10.76560115814209,816.8795663118362,650,3,hidden_state_pointcloud,neutral
H1,329,0.8752470016479492,56.25593610107899,66,3,hidden_state_pointcloud,neutral
H0,649,8.704008102416992,950.2690231800079,650,3,hidden_state_pointcloud,flipped
H1,414,0.7265543937683105,77.97832584381104,82,3,hidden_state_pointcloud,flipped
H0,649,8.813272476196289,944.4055358916521,650,3,hidden_state_pointcloud,shuffled
H1,433,0.8588035106658936,79.01494860649109,96,3,hidden_state_pointcloud,shuffled
H0,649,7.149737358093262,2100.231125354767,650,3,hidden_state_pointcloud,gaussian_matched_cov
H1,599,1.0001022815704346,157.78898453712463,144,3,hidden_state_pointcloud,gaussian_matched_cov
H0,649,7.995402812957764,1955.3061481714249,650,3,hidden_state_pointcloud,feature_shuffle
H1,568,1.2029635906219482,157.40147876739502,119,3,hidden_state_pointcloud,feature_shuffle
H0,649,9.989943504333496,1340.5400403439999,650,4,hidden_state_pointcloud,true
H1,485,1.0564191341400146,116.96632099151611,138,4,hidden_state_pointcloud,true
H0,649,10.754105567932129,1237.8643222153187,650,4,hidden_state_pointcloud,neutral
H1,468,1.1384384632110596,111.53598242998123,119,4,hidden_state_pointcloud,neutral
H0,649,9.899663925170898,1332.9667751789093,650,4,hidden_state_pointcloud,flipped
H1,481,1.313256025314331,116.96261739730835,130,4,hidden_state_pointcloud,flipped
H0,649,9.953205108642578,1338.3394584059715,650,4,hidden_state_pointcloud,shuffled
H1,504,1.085355520248413,119.5603539943695,140,4,hidden_state_pointcloud,shuffled
H0,649,8.52945327758789,2380.8869708776474,650,4,hidden_state_pointcloud,gaussian_matched_cov
H1,686,1.019831895828247,177.31996178627014,156,4,hidden_state_pointcloud,gaussian_matched_cov
H0,649,6.204681873321533,2180.3669813871384,650,4,hidden_state_pointcloud,feature_shuffle
H1,605,1.1382191181182861,155.70622849464417,121,4,hidden_state_pointcloud,feature_shuffle
