homology_dim,num_features,longest_persistence,total_persistence,peak_betti,seed,analysis,condition,unit_group,attention_condition,n_units,n_samples
H0,36,0.5943955779075623,6.185081638395786,37.0,0,preferred_stream_rouse_like,left_pref_attend_preferred,left_pref,attend_preferred,37,7680
H1,5,0.32507383823394775,0.6582300402224064,3.0,0,preferred_stream_rouse_like,left_pref_attend_preferred,left_pref,attend_preferred,37,7680
H2,1,0.11396157741546631,0.11396157741546631,1.0,0,preferred_stream_rouse_like,left_pref_attend_preferred,left_pref,attend_preferred,37,7680
H0,36,0.5977110266685486,6.095728369895369,37.0,0,preferred_stream_rouse_like,left_pref_attend_away,left_pref,attend_away,37,8072
H1,6,0.3987501263618469,0.7470590993762016,3.0,0,preferred_stream_rouse_like,left_pref_attend_away,left_pref,attend_away,37,8072
H2,2,0.06343531608581543,0.06446337699890137,1.0,0,preferred_stream_rouse_like,left_pref_attend_away,left_pref,attend_away,37,8072
H0,26,0.7159591913223267,7.3720762357115746,27.0,0,preferred_stream_rouse_like,right_pref_attend_preferred,right_pref,attend_preferred,27,8072
H1,6,0.4010773301124573,0.8697831928730011,3.0,0,preferred_stream_rouse_like,right_pref_attend_preferred,right_pref,attend_preferred,27,8072
H2,3,0.16785788536071777,0.17756938934326172,2.0,0,preferred_stream_rouse_like,right_pref_attend_preferred,right_pref,attend_preferred,27,8072
H0,26,0.7280011773109436,7.163312204182148,27.0,0,preferred_stream_rouse_like,right_pref_attend_away,right_pref,attend_away,27,7680
H1,8,0.2708498239517212,0.7495139390230179,3.0,0,preferred_stream_rouse_like,right_pref_attend_away,right_pref,attend_away,27,7680
H2,1,0.2692112326622009,0.2692112326622009,1.0,0,preferred_stream_rouse_like,right_pref_attend_away,right_pref,attend_away,27,7680
H0,63,0.4004109799861908,7.612781269708648,64.0,1,preferred_stream_rouse_like,left_pref_attend_preferred,left_pref,attend_preferred,64,8019
H1,16,0.5956941843032837,1.5675637274980545,4.0,1,preferred_stream_rouse_like,left_pref_attend_preferred,left_pref,attend_preferred,64,8019
H2,4,0.09987640380859375,0.25298458337783813,3.0,1,preferred_stream_rouse_like,left_pref_attend_preferred,left_pref,attend_preferred,64,8019
H0,63,0.4589371979236603,7.3804975838866085,64.0,1,preferred_stream_rouse_like,left_pref_attend_away,left_pref,attend_away,64,7642
H1,14,0.5916661024093628,1.537373123690486,5.0,1,preferred_stream_rouse_like,left_pref_attend_away,left_pref,attend_away,64,7642
H2,2,0.11354637145996094,0.1690741777420044,1.0,1,preferred_stream_rouse_like,left_pref_attend_away,left_pref,attend_away,64,7642
H1,0,,,,1,preferred_stream_rouse_like,right_pref_attend_preferred,right_pref,attend_preferred,0,7642
H1,0,,,,1,preferred_stream_rouse_like,right_pref_attend_away,right_pref,attend_away,0,8019
H0,6,1.4696049690246582,2.3626271076500416,7.0,2,preferred_stream_rouse_like,left_pref_attend_preferred,left_pref,attend_preferred,7,7988
H1,1,0.24614357948303223,0.24614357948303223,1.0,2,preferred_stream_rouse_like,left_pref_attend_preferred,left_pref,attend_preferred,7,7988
H2,0,0.0,0.0,0.0,2,preferred_stream_rouse_like,left_pref_attend_preferred,left_pref,attend_preferred,7,7988
