unit,left_sensitivity,right_sensitivity,preference_score_left_minus_right,preferred_stream,preferred_stream_name,seed
0,0.40503296,0.18260512,0.22242785,0,left,0
1,0.44992062,0.3937561,0.056164533,0,left,0
2,0.4141551,0.33362675,0.08052835,0,left,0
3,0.0480159,0.03672463,0.011291269,0,left,0
4,0.4035874,0.35166523,0.051922172,0,left,0
5,0.18968281,0.09639352,0.09328929,0,left,0
6,0.6254409,0.16972288,0.455718,0,left,0
7,0.744875,0.9324162,-0.18754119,1,right,0
8,0.5807303,0.17202204,0.40870827,0,left,0
9,0.9095931,1.2539821,-0.34438896,1,right,0
10,0.33567902,0.29620832,0.039470702,0,left,0
11,0.032979973,0.020391872,0.0125881005,0,left,0
12,1.2209046,1.4948044,-0.2738998,1,right,0
13,0.24691048,1.1214916,-0.8745811,1,right,0
14,0.019786922,0.004235545,0.015551377,0,left,0
15,1.1455606,0.2420322,0.90352845,0,left,0
16,0.074679695,0.09764313,-0.022963434,1,right,0
17,0.03870124,0.060967978,-0.022266738,1,right,0
18,0.269254,0.3228334,-0.05357939,1,right,0
19,0.2333682,0.6151887,-0.3818205,1,right,0
20,0.49567634,1.5341526,-1.0384762,1,right,0
21,0.0013453254,0.00058231776,0.0007630076,0,left,0
22,0.045388646,0.065320365,-0.019931719,1,right,0
23,0.23747769,1.9117007,-1.6742231,1,right,0
24,0.30775902,0.6566733,-0.3489143,1,right,0
25,0.037992455,0.09121394,-0.053221487,1,right,0
26,0.11654459,0.16487058,-0.048325986,1,right,0
27,0.0010895124,0.0021108289,-0.0010213165,1,right,0
28,0.46171,0.10579284,0.35591716,0,left,0
29,0.39522958,0.5848946,-0.18966502,1,right,0
30,0.25662002,0.299329,-0.042708993,1,right,0
31,0.90978247,0.3238207,0.58596176,0,left,0
32,0.378823,0.5144986,-0.13567558,1,right,0
33,0.18402898,0.671792,-0.487763,1,right,0
34,0.5887401,0.4607603,0.12797982,0,left,0
35,0.0651213,0.028433707,0.036687594,0,left,0
36,0.10036825,0.02965679,0.070711456,0,left,0
37,0.45460036,0.5015579,-0.046957523,1,right,0
38,0.44052443,0.29357505,0.14694938,0,left,0
39,0.08892492,0.053984467,0.034940455,0,left,0
40,0.40440238,0.18417507,0.2202273,0,left,0
41,0.6063428,0.55647177,0.049871027,0,left,0
42,0.42039543,0.6336519,-0.21325648,1,right,0
43,1.1327367,1.0960609,0.03667581,0,left,0
44,0.57395923,0.37712955,0.19682968,0,left,0
45,1.0749731,0.22658049,0.8483926,0,left,0
46,0.31924492,0.24565625,0.07358867,0,left,0
47,0.035018187,0.00795627,0.027061917,0,left,0
48,0.07924847,0.042864118,0.036384355,0,left,0
49,0.61148775,0.6168432,-0.0053554773,1,right,0
50,0.96467316,0.7842486,0.18042457,0,left,0
51,0.2019485,1.1878003,-0.98585176,1,right,0
52,0.42459592,0.50477594,-0.08018002,1,right,0
53,0.67385215,0.4369161,0.23693603,0,left,0
54,0.39852017,0.3853054,0.013214767,0,left,0
55,0.17403053,0.16009665,0.013933882,0,left,0
56,0.37315637,0.070218764,0.3029376,0,left,0
57,0.9949724,2.4596012,-1.4646287,1,right,0
58,3.413685,0.2309347,3.1827505,0,left,0
59,0.021047981,0.017804228,0.0032437537,0,left,0
60,0.24140619,0.2478675,-0.0064613074,1,right,0
61,0.3449002,0.58753335,-0.24263316,1,right,0
