seed,comparison,accuracy_difference,dprime_difference
0,true_minus_neutral,0.00040000000000006697,-0.06550194704276091
0,true_minus_flipped,0.0020000000000000018,-0.010917579503992414
0,true_minus_shuffled,0.0020000000000000018,0.057819941170285105
1,true_minus_neutral,0.026000000000000023,-0.050958109380491834
1,true_minus_flipped,0.11719999999999997,0.3064702208015604
1,true_minus_shuffled,0.06240000000000001,0.175126763110232
2,true_minus_neutral,0.041200000000000014,0.1250182288336994
2,true_minus_flipped,0.08720000000000006,0.28334273339042104
2,true_minus_shuffled,0.04039999999999999,0.14667150710593013
3,true_minus_neutral,0.00039999999999995595,-0.10237901869688315
3,true_minus_flipped,0.01079999999999992,0.10964378961608556
3,true_minus_shuffled,0.006799999999999917,0.12882211588384607
4,true_minus_neutral,0.0,-0.12023439129474411
4,true_minus_flipped,0.0007999999999999119,0.03652264319646825
4,true_minus_shuffled,-0.00040000000000006697,-0.019548792709372265
